지점명,일시,전체포집량(개),모기포집량(개),기타포집량(개),평균기온,최고기온,최고기온시각,최저기온,최저기온시각,강수량,1시간최다강수량,1시간최다강수량시각,평균습도,최저습도
서울,2015/05/01,2801,2783,18,21,27.2,15:09,15.9,5:48,0,0,,58.8,41
서울,2015/05/02,2747,2729,18,20.7,26,14:13,15.8,5:51,0.5,0.5,21:31,64.4,39
서울,2015/05/03,3016,2998,18,18.3,19.6,18:19,17.1,6:00,3.5,2,3:27,90.4,82
서울,2015/05/04,3405,3392,13,16.1,20.1,11:38,12.5,23:56,0,0,,45.9,13
서울,2015/05/05,3154,3137,17,14.2,19.9,14:36,8.3,6:10,0,0,,37.9,16
서울,2015/05/06,2865,2849,16,15.4,22,15:46,9.8,5:34,0,0,,36.3,16
서울,2015/05/07,2835,2819,16,16.5,24,13:06,10.6,5:30,0,0,,35.6,15
서울,2015/05/08,2936,2926,10,16.7,22.7,14:49,11.7,3:44,0,0,,64.3,43
서울,2015/05/12,1730,1713,17,13.3,17.5,14:50,10.3,5:18,9.5,4,0:10,75.9,49
서울,2015/05/13,2334,2323,11,17.4,21.4,13:06,11.8,1:31,0,0,,56.9,44
서울,2015/05/14,5455,5430,25,20.4,26.6,15:43,15.3,5:28,0,0,,63.8,44
서울,2015/05/15,8450,8425,25,19.1,23.7,17:59,16.3,7:50,0,0,,71,46
서울,2015/05/16,3995,3935,60,18,25.2,14:07,11.6,5:45,0,0,,41.3,16
서울,2015/05/17,6293,6276,17,18.6,25.2,15:03,11.7,5:24,0,0,,40.4,12
서울,2015/05/18,28014,7851,20163,17.7,22.2,13:41,13.7,4:56,0,0,,53.9,30
서울,2015/05/19,10422,10366,56,14.8,16.2,12:10,13,23:53,1,0.5,16:42,88.9,82
서울,2015/05/20,2935,2926,9,16.3,21.9,15:52,10.6,5:01,0,0,,60,32
서울,2015/05/21,16138,16089,49,18.7,26,14:27,12.6,5:46,0,0,,50.1,23
서울,2015/05/22,3473,3450,23,20,27.2,13:52,13.7,4:24,0,0,,45.3,23
서울,2015/05/23,3491,3479,12,20.6,28.3,15:47,13.6,6:10,0,0,,38.5,16
서울,2015/05/24,10101,10082,19,21,28.5,15:17,14,6:10,0,0,,37.3,16
서울,2015/05/25,10556,10540,16,20.8,28.7,13:59,14.4,5:34,0,0,,53.1,26
